iter	RMSE
0	2054449.168
1	1984745.551
2	1921118.954
3	1856214.858
4	1800941.829
5	1747195.656
6	1694057.42
7	1649606.295
8	1608875.292
9	1565283.786
10	1527908.419
11	1494037.462
12	1457857.286
13	1427394.312
14	1394735.377
15	1361422.982
16	1329619.92
17	1298707.727
18	1266282.421
19	1237650.52
20	1212298.345
21	1185038.604
22	1159802.398
23	1135974.804
24	1112718.632
25	1088259.536
26	1064509.07
27	1045980.75
28	1026952.977
29	1009606.318
30	989461.1081
31	976535.3555
32	960514.7237
33	943607.6084
34	926839.6238
35	910427.9966
36	893975.4377
37	882156.082
38	869912.2707
39	860503.3891
40	847037.4712
41	834223.539
42	820787.4745
43	809887.2957
44	799694.5199
45	789657.7063
46	780973.6037
47	768817.2266
48	759252.3946
49	749122.1222
50	739325.145
51	733435.1422
52	724733.7205
53	715571.0523
54	705934.4028
55	697003.6452
56	688353.672
57	681343.0016
58	675418.2385
59	668869.2453
60	662653.4561
61	655401.6315
62	647443.4519
63	640091.6492
64	633856.0165
65	627774.3386
66	620046.2648
67	613719.3969
68	608192.8438
69	603553.4692
70	597977.1943
71	591072.586
72	586774.5027
73	581670.5746
74	576236.2624
75	572639.2667
76	567252.904
77	563814.2299
78	559482.0493
79	553909.9214
80	548715.4035
81	545827.566
82	542091.2177
83	537981.0946
84	534904.7212
85	528047.7227
86	524721.8406
87	521710.0055
88	518090.1019
89	515706.3682
90	512898.445
91	507829.2204
92	503962.8528
93	501061.6605
94	497218.6597
95	493940.8196
96	489781.64
97	486141.5437
98	483533.6629
99	480700.6517
100	478184.0569
101	476886.6976
102	474800.3146
103	471899.3116
104	466390.0696
105	463530.3938
106	459535.0431
107	456015.9135
108	452925.5934
109	451157.9534
110	447456.1593
111	445092.5526
112	441037.5087
113	437277.4099
114	432903.5709
115	430950.1555
116	427757.5293
117	425922.7072
118	422033.3154
119	419771.5403
120	417396.7474
121	415925.812
122	412196.0865
123	408987.1988
124	406555.3239
125	403849.5527
126	400818.7072
127	398238.6971
128	395111.2058
129	393394.771
130	391469.9479
131	390072.7074
132	387057.7404
133	385377.0707
134	383610.3866
135	381778.682
136	380485.2382
137	378384.4593
138	376111.4414
139	375497.4998
140	373601.202
141	371932.1257
142	370209.6194
143	368365.0651
144	366838.8888
145	365345.3762
146	363776.0518
147	361856.5035
148	360397.3483
149	358269.4332
150	357061.4188
151	356102.7587
152	355350.2272
153	354473.4429
154	351967.1997
155	350672.6746
156	349122.8741
157	347493.6857
158	345190.0389
159	344424.5393
160	342925.8933
161	342164.1163
162	341199.6654
163	339321.6615
164	338627.9931
165	336772.1207
166	335869.2936
167	334167.5612
168	332498.409
169	331313.2829
170	329533.4675
171	327881.5888
172	326447.6092
173	324530.3626
174	323752.7743
175	322590.2463
176	321677.0681
177	320624.5824
178	319214.3466
179	318068.8955
180	317219.6177
181	316487.5541
182	315257.11
183	313564.1902
184	313029.0629
185	311892.5826
186	310367.0556
187	310063.1804
188	309280.3658
189	308074.9942
190	306753.1793
191	306258.3493
192	305587.0305
193	304853.1433
194	303364.2008
195	302815.0944
196	302289.48
197	301775.3295
198	300703.7036
199	299430.1689
200	298399.2303
201	297276.5896
202	296305.5501
203	295361.3244
204	294273.3404
205	294000.5251
206	292651.163
207	291208.1831
208	290620.2759
209	289621.9275
210	288978.791
211	287989.4363
212	287056.1319
213	285833.0499
214	283972.3083
215	283567.9788
216	282370.7264
217	281580.5473
218	280639.5214
219	279421.7066
220	278851.1807
221	277663.5152
222	276703.215
223	275806.3751
224	275093.3311
225	274223.7744
226	272916.7446
227	272407.4323
228	270902.1757
229	269599.3643
230	268448.8487
231	267369.7646
232	266487.063
233	265294.382
234	264893.9606
235	263639.1131
236	262904.0591
237	261831.169
