iter	Passed	Remaining
0	6	6402
1	13	6832
2	22	7514
3	30	7593
4	37	7543
5	44	7373
6	50	7192
7	56	6984
8	61	6819
9	67	6688
10	73	6582
11	80	6593
12	85	6529
13	91	6471
14	97	6395
15	102	6316
16	108	6250
17	113	6168
18	118	6096
19	122	6026
20	128	5988
21	133	5931
22	138	5899
23	143	5837
24	147	5763
25	152	5698
26	155	5620
27	159	5542
28	163	5476
29	167	5417
30	171	5363
31	175	5318
32	179	5270
33	183	5201
34	186	5145
35	190	5097
36	194	5051
37	197	5009
38	201	4969
39	205	4930
40	210	4917
41	214	4886
42	218	4858
43	222	4827
44	226	4799
45	230	4771
46	233	4741
47	237	4717
48	241	4693
49	245	4665
50	249	4641
51	253	4619
52	257	4602
53	261	4583
54	265	4560
55	269	4541
56	273	4520
57	277	4500
58	281	4483
59	284	4464
60	288	4446
61	292	4424
62	296	4407
63	300	4389
64	303	4369
65	307	4355
66	311	4341
67	319	4382
68	323	4367
69	327	4354
70	331	4339
71	335	4323
72	339	4310
73	343	4295
74	347	4286
75	351	4270
76	355	4258
77	359	4246
78	363	4234
79	367	4222
80	371	4212
81	375	4199
82	378	4185
83	383	4177
84	387	4167
85	390	4155
86	395	4147
87	399	4141
88	403	4133
89	407	4124
90	411	4112
91	415	4103
92	419	4092
93	423	4079
94	427	4072
95	431	4062
96	435	4049
97	438	4038
98	442	4026
99	446	4019
100	450	4008
101	454	4000
102	469	4091
103	473	4082
104	477	4072
105	481	4064
106	485	4055
107	489	4045
108	493	4035
109	497	4028
110	502	4022
111	506	4017
112	510	4010
113	515	4002
114	518	3993
115	522	3982
116	526	3971
117	530	3963
118	534	3955
119	538	3945
120	542	3938
121	546	3931
122	550	3921
123	553	3913
124	557	3903
125	561	3895
126	565	3887
127	569	3879
128	573	3873
129	577	3865
130	581	3859
131	585	3852
132	589	3844
133	594	3838
134	598	3833
135	602	3828
136	606	3821
137	610	3813
138	614	3805
139	618	3796
140	622	3790
141	625	3781
142	629	3773
143	633	3767
144	637	3759
145	641	3752
146	645	3745
147	649	3739
148	653	3732
149	657	3726
150	661	3721
151	666	3716
152	670	3710
153	674	3704
154	678	3699
155	683	3695
156	687	3691
157	691	3686
158	696	3683
159	700	3677
160	705	3673
161	709	3669
162	713	3664
163	718	3660
164	722	3656
