,Unnamed: 0.1,Unnamed: 0,appid,name,release_date,developers,publishers,categories,genres,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,peak_ccu,tags,pct_pos_total,num_reviews_total,'360 Video'],'Accounting','Accounting'],'Action','Action'],'Adventure','Adventure'],'Animation & Modeling','Animation & Modeling'],'Audio Production','Audio Production'],'Casual','Casual'],'Design & Illustration','Design & Illustration'],'Documentary','Early Access','Early Access'],'Education','Education'],'Episodic','Free To Play','Free To Play'],'Game Development','Game Development'],'Gore','Gore'],'Indie','Indie'],'Massively Multiplayer','Massively Multiplayer'],'Movie','Movie'],'Nudity','Photo Editing','Photo Editing'],'RPG','RPG'],'Racing','Racing'],'Short','Simulation','Simulation'],'Software Training','Software Training'],'Sports','Sports'],'Strategy','Strategy'],'Tutorial','Utilities','Utilities'],'Video Production','Video Production'],'Violent','Web Publishing','Web Publishing'],['Accounting',['Accounting'],['Action',['Action'],['Adventure',['Adventure'],['Animation & Modeling',['Animation & Modeling'],['Audio Production',['Audio Production'],['Casual',['Casual'],['Design & Illustration',['Design & Illustration'],['Early Access',['Early Access'],['Education',['Education'],['Free To Play',['Free To Play'],['Game Development',['Game Development'],['Gore',['Indie',['Indie'],['Massively Multiplayer',['Massively Multiplayer'],['Nudity',['Photo Editing',['Photo Editing'],['RPG',['RPG'],['Racing',['Racing'],['Sexual Content',['Simulation',['Simulation'],['Software Training',['Software Training'],['Sports',['Sports'],['Strategy',['Strategy'],['Utilities',['Utilities'],['Video Production',['Video Production'],['Violent',['Violent'],['Web Publishing'],[],360 Video,Accounting,Action,Adventure,Animation & Modeling,Audio Production,Casual,Design & Illustration,Documentary,Early Access,Education,Episodic,Free To Play,Game Development,Gore,Indie,Massively Multiplayer,Movie,Nudity,Photo Editing,RPG,Racing,Sexual Content,Short,Simulation,Software Training,Sports,Strategy,Tutorial,Utilities,Video Production,Violent,Web Publishing,title_clean,playtime_hours,fuzzy_match,title_clean_fuzzy,playtime_hours_fuzzy,time_to_beat,bayesian_score,completion_rate_avg,completion_rate_median,playtime_deviation,engagement_ratio,is_frequently_completed
0,0,2,570,Dota 2,2013-07-09,['Valve'],['Valve'],"['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline']","['Action', 'Strategy', 'Free To Play']",200000000 - 500000000,43031,1536,898,892,555977,"{'Free to Play': 59933, 'MOBA': 20158, 'Multiplayer': 15359, 'Strategy': 14252, 'e-sports': 11780, 'Team-Based': 10962, 'Competitive': 8286, 'Action': 7920, 'Online Co-Op': 7464, 'PvP': 6046, 'Difficult': 5349, 'Co-op': 4316, 'RTS': 4110, 'RPG': 3792, 'Tower Defense': 3774, 'Fantasy': 3749, 'Character Customization': 2930, 'Replay Value': 2755, 'Action RPG': 2460, 'Simulation': 1979}",81,2452595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dota 2,691.77,,,,691.77,80.99998632329864,1.0,0.02163532195190116,42133,1.0367366803031837,0
3,3,7,252490,Rust,2018-02-08,['Facepunch Studios'],['Facepunch Studios'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",20000000 - 50000000,21195,836,3675,231,200902,"{'Survival': 18592, 'Crafting': 11822, 'Multiplayer': 11755, 'Open World': 11220, 'Open World Survival Craft': 8769, 'Building': 8354, 'PvP': 7651, 'Sandbox': 7238, 'Adventure': 5868, 'First-Person': 5355, 'Action': 4907, 'Nudity': 4793, 'FPS': 4749, 'Shooter': 3890, 'Co-op': 3826, 'Online Co-Op': 3770, 'Indie': 3099, 'Post-apocalyptic': 2979, 'Early Access': 2915, 'Simulation': 2600}",87,993856,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,rust,23.99,,,,23.99,86.9996644108264,1.0,1.0,17520,14.724885368903712,1
4,4,8,4000,Garry's Mod,2006-11-29,['Facepunch Studios'],['Valve'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Tablet', 'Family Sharing']","['Casual', 'Indie', 'Simulation']",20000000 - 50000000,10987,100,1173,136,32384,"{'Sandbox': 18706, 'Moddable': 14479, 'Multiplayer': 14453, 'Physics': 14417, 'Building': 14389, 'Casual': 13162, 'Funny': 12972, 'First-Person': 12898, 'Singleplayer': 12870, 'FPS': 12834, 'Simulation': 12823, 'Online Co-Op': 12812, 'Comedy': 12809, 'Shooter': 12809, 'Co-op': 12809, 'Action': 12798, 'Indie': 12732, 'PvP': 8990, 'Realistic': 8982, 'Exploration': 8954}",96,985010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,garry's mod,52.65,,,,52.65,95.99920457221572,1.0,0.37132003798670465,9814,3.477999366888256,0
5,5,11,292030,The Witcher 3: Wild Hunt,2015-05-18,['CD PROJEKT RED'],['CD PROJEKT RED'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['RPG'],10000000 - 20000000,4411,521,927,184,15129,"{'Open World': 12704, 'RPG': 10744, 'Story Rich': 9941, 'Atmospheric': 6852, 'Mature': 6780, 'Fantasy': 6537, 'Adventure': 6423, 'Singleplayer': 6228, 'Nudity': 6046, 'Choices Matter': 5754, 'Great Soundtrack': 4711, 'Third Person': 4677, 'Medieval': 4545, 'Action': 4392, 'Multiple Endings': 3940, 'Action RPG': 3884, 'Dark Fantasy': 3699, 'Magic': 3693, 'Dark': 2205, 'Sandbox': 1326}",96,751939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,the witcher 3: wild hunt,51.44,,,,51.44,95.99895803782613,1.0,0.30034992223950235,3484,1.429173146708139,0
6,6,13,413150,Stardew Valley,2016-02-26,['ConcernedApe'],['ConcernedApe'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Indie', 'RPG', 'Simulation']",20000000 - 50000000,4871,158,2053,87,67309,"{'Farming Sim': 7706, 'Pixel Graphics': 7169, 'Multiplayer': 7088, 'Life Sim': 7083, 'RPG': 6396, 'Relaxing': 6108, 'Agriculture': 5247, 'Simulation': 5198, 'Crafting': 4386, 'Sandbox': 4284, 'Indie': 4181, 'Building': 3535, 'Singleplayer': 3275, 'Casual': 3274, 'Open World': 3241, '2D': 2935, 'Cute': 2747, 'Dating Sim': 2724, 'Great Soundtrack': 2521, 'Fishing': 2220}",98,733626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,stardew valley,52.58,,,,52.58,97.99879572986825,1.0,0.6507544059845316,2818,1.5439964498541905,0
9,9,19,1085660,Destiny 2,2019-10-01,['Bungie'],['Bungie'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']","['Action', 'Adventure', 'Free To Play']",20000000 - 50000000,10441,765,435,473,36292,"{'Free to Play': 3512, 'Open World': 3063, 'Looter Shooter': 3018, 'Multiplayer': 3018, 'MMORPG': 2986, 'FPS': 2976, 'Co-op': 2942, 'PvE': 2833, 'PvP': 2760, 'Shooter': 2645, 'Massively Multiplayer': 2529, 'Loot': 2514, 'First-Person': 2489, 'Sci-fi': 2470, 'Action': 2453, 'Adventure': 2383, 'Lore-Rich': 2366, 'Space': 2351, 'Competitive': 2213, 'Atmospheric': 2202}",79,621145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,destiny 2,12.0,,,,12.0,79.00010698074972,1.0,0.6041666666666666,10006,14.50138888888889,0
11,11,23,236390,War Thunder,2013-08-15,['Gaijin Entertainment'],['Gaijin Network Ltd'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']",20000000 - 50000000,8033,797,422,248,52069,"{'Free to Play': 6063, 'Simulation': 6013, 'Vehicular Combat': 5097, 'Combat': 4770, 'World War II': 4013, 'VR': 3994, 'Flight': 3979, 'War': 3846, 'Military': 3841, 'Tanks': 3789, 'Multiplayer': 3697, 'Naval Combat': 3672, 'Modern': 3638, 'Massively Multiplayer': 3637, 'Cold War': 3599, 'Realistic': 3578, 'Shooter': 3571, 'Action': 3568, 'Third Person': 3528, 'Third-Person Shooter': 3524}",73,602369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,war thunder,382.39,,,,382.39,73.00060830735224,0.3501224753088034,0.018393089080084035,7611,0.3501224753088034,0
12,12,24,381210,Dead by Daylight,2016-06-14,['Behaviour Interactive Inc.'],['Behaviour Interactive Inc.'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",['Action'],20000000 - 50000000,13471,1281,1284,147,32198,"{'Horror': 40300, 'Multiplayer': 9526, 'Survival Horror': 9506, 'Online Co-Op': 7310, 'Co-op': 6890, 'Survival': 6856, 'Gore': 6805, 'Team-Based': 6725, 'Blood': 6675, 'Stealth': 6660, 'Third Person': 6655, 'Violent': 6639, 'First-Person': 6627, 'Psychological Horror': 6582, 'Action': 6546, 'Atmospheric': 6489, 'Strategy': 2193, 'Comedy': 2137, 'Mature': 1916, 'Difficult': 1546}",79,569165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead by daylight,55.0,,,,55.0,79.00011675009763,1.0,0.38909090909090904,12187,4.082121212121212,0
13,13,26,346110,ARK: Survival Evolved,2017-08-27,"['Studio Wildcard', 'Instinct Games', 'Efecto Studios', 'Virtual Basement LLC']","['Studio Wildcard', 'Snail Games USA']","['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']",20000000 - 50000000,13066,678,821,388,31240,"{'Open World Survival Craft': 12903, 'Survival': 12216, 'Multiplayer': 9634, 'Open World': 9510, 'Dinosaurs': 9108, 'Crafting': 7793, 'Building': 7464, 'Adventure': 6574, 'Base-Building': 5968, 'Co-op': 5503, 'Action': 4882, 'First-Person': 4470, 'Sandbox': 4466, 'Massively Multiplayer': 4276, 'Singleplayer': 4051, 'Early Access': 3461, 'RPG': 3256, 'Dragons': 3246, 'Sci-fi': 2644, 'Indie': 2138}",84,542022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ark: survival evolved,64.78,,,,64.78,83.99966140274137,1.0,0.2112277451888443,12245,3.361634249253885,0
14,14,27,242760,The Forest,2018-04-30,['Endnight Games Ltd'],['Endnight Games Ltd'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation']",20000000 - 50000000,2431,336,760,332,8504,"{'Open World Survival Craft': 12488, 'Survival': 12107, 'Open World': 8815, 'Horror': 8778, 'Crafting': 6519, 'Adventure': 5679, 'Building': 5598, 'Survival Horror': 5308, 'First-Person': 4664, 'Action': 3784, 'Exploration': 3677, 'Sandbox': 3354, 'Singleplayer': 2977, 'Atmospheric': 2796, 'Simulation': 2590, 'Gore': 2519, 'Realistic': 2440, 'Indie': 2288, 'Zombies': 1737, 'Early Access': 1602}",95,523900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,the forest,14.0,,,,14.0,94.99859997310206,1.0,0.9047619047619048,1671,2.894047619047619,1
